id_akd,date,title,description,sifat_rapat,id_jenis_agenda,id_masa_persidangan,tempat,status,id
Komisi X,2025-07-01 18:30:00,Rapat Kerja (Raker) Komisi X DPR RI dengan Menteri Pemuda dan Olahraga RI,"1. Pemaparan Anggaran Hasil Relaksasi APBN TA 2025.
2. Pembahasan RKA-K/L TA 2026 dan RKP K/L Tahun 2026",Tertutup,Rapat Kerja,121.0,Ruang Rapat Komisi X DPR RI,Terjadwal,23209
Komisi X,2025-07-01 15:00:00,Rapat Kerja (Raker) Komisi X DPR RI dengan Menteri Pendidikan Dasar dan Menengah RI,"1. Pemaparan Anggaran Hasil Relaksasi APBN TA 2025.
2. Penyikapan atas Putusan MK Nomor 3/PUU-XXII/2024 tentang Pendidikan Dasar Tanpa Dipungut Biaya.
3. Pembahasan RKA-K/L TA 2026 dan RKP K/L Tahun 2026.",Tertutup,Rapat Kerja,121.0,Ruang Rapat Komisi X DPR RI,Terjadwal,23208
Komisi X,2025-07-01 13:00:00,RDP Komisi X DPR RI dengan Kepala Perpusnas RI,"1. Pemaparan Anggaran Hasil RelaksasI APBN TA 2025.
2. Pembahasan RKA-K/L dan RKP K/L Tahun 2026.",Tertutup,Rapat Dengar Pendapat,121.0,Ruang Rapat Komisi X DPR RI,Terjadwal,23207
Komisi IV,2025-07-01 15:00:00,Komisi IV DPR RI Rapat Dengar Pendapat (RDP) dengan Kepala Badan Karantina Indonesia,"Membahas: 
1. Pelaksanaan Program Kerja Triwulan I dan II; dan 
2. Pembukaan Blokir Anggaran Kementerian/Lembaga
",Terbuka,Rapat Dengar Pendapat,121.0,Ruang Rapat Komisi IV DPR RI ,Terjadwal,23206
Komisi IV,2025-07-01 13:00:00,Komisi IV DPR RI Rapat Dengar Pendapat (RDP) dengan Kepala Badan Pangan Nasional,"Membahas: 
1. Pelaksanaan Program Kerja Triwulan I dan Triwulan II; dan 
2. Pembukaan Blokir Anggaran Kementerian/ Lembaga
",Terbuka,Rapat Dengar Pendapat,121.0,Ruang Rapat Komisi IV DPR RI ,Terjadwal,23205
,2025-07-01 11:00:00,Rapat Paripurna Ke-21 Masa Persidangan IV Tahun Sidang 2024-2025,"1. Penyampaian Keterangan Pemerintah terhadap RUU tentang Pertanggungjawaban atas Pelaksanaan APBN TA 2024;
2. Tanggapan Pemerintah terhadap Pandangan Fraksi-Fraksi atas Kerangka Ekonomi Makro (KEM) dan Pokok-Pokok Kebijakan Fiskal (PPKF) RAPBN TA 2026;
3. Pendapat Fraksi-Fraksi atas Usul Rancangan Peraturan DPR RI tentang Renstra TA 2025-2029, dilanjutkan dengan pengambilan keputusan;
4. Penetapan Mitra Kerja Danantara, dilanjutkan dengan pengambilan keputusan.
",Terbuka,Rapat Tertutup,121.0,"Ruang Rapat Paripurna, Gedung Nusantara II Lantai 3 DPR RI",Terjadwal,23204
,2025-06-30 15:00:00,"RDP dengan Dirjen Migas Kementerian ESDM RI, Kepala SKK Migas, Kepala BPH Migas dan Dirut PT Pertamina (Persero)","1.Performa penerimaan negara sektor Hulu Migas pada Tahun 2025 dan target Tahun 2026
2.Progres Lifting Migas Tahun 2025 dan target Tahun 2026
3.Realisasi kuota dan subsidi BBM dan LPG Tahun 2025 dan Proyeksi Tahun 2026
4.Pengawasan distribusi BBM dan LPG bersubsidi
5.	Proyeksi ICP Tahun 2026 
6.	Lain-lain",Terbuka,Rapat Dengar Pendapat,121.0,Ruang Rapat Komisi XII DPR RI,Terjadwal,23203
Komisi V,2025-06-02 10:00:00,"RDPU Komisi V DPR RI dengan :
1. Rektor Universitas Indonesia
2. Rektor Universitas Gajah Mada
3. Rektor Universitas Institut Teknologi Bandung
4. Rektor Universitas Hasanuddin dan
5. Rektor Universitas Katolik Soegijapranata ",Membahas Pemenuhan Standar Pelayanan Minimal Jalan Tol,Terbuka,Kunjungan Kerja,121.0,Ruang Rapat Komisi V DPR RI (KK V),Terjadwal,23202
Komisi V,2025-07-01 13:00:00,"RDPU Komisi V DPR RI dengan :
1. INSTRAN (inisiasi Strategi Transportasi)
2. MTI (Masyarakat Transportasi Indonesia) 
3. ITDP (Institute or Transportation and Development Policy)",Membahas Pemenuhan Standar Pelayanan Minimal Jalan Tol,Terbuka,Kunjungan Kerja,121.0,Ruang Rapat Komisi V DPR RI (KK V),Terjadwal,23201
,2025-06-01 11:00:00,Rapat Paripurna Ke-21 Masa Persidangan IV Tahun Sidang 2024-2025,"1. Penyampaian Keterangan Pemerintah terhadap RUU tentang      Pertanggungjawaban atas Pelaksanaan APBN TA 2024;
2. Tanggapan Pemerintah terhadap Pandangan Fraksi-Fraksi atas Kerangka Ekonomi Makro (KEM) dan Pokok-Pokok Kebijakan Fiskal (PPKF) RAPBN TA 2026;
3. Pendapat Fraksi-Fraksi atas Usul Rancangan Peraturan DPR RI tentang Rencana Strategis Tahun 2025-2029, dilanjutkan dengan pengambilan keputusan;
4. Penetapan Mitra Kerja Danantara, dilanjutkan dengan pengambilan keputusan.",Terbuka,Rapat Tertutup,121.0,"Ruang Rapat Paripurna, Gedung Nusantara II Lantai 3 DPR RI",Dibatalkan,23200
Komisi VII,2025-07-01 15:00:00,Rapat Kerja Komisi VII DPR RI dengan Menteri UMKM RI,Pembahasan Progres Penyaluran Kredit Usaha Rakyat (KUR) kepada UMKM ,Terbuka,Rapat Kerja,121.0,Ruang Rapat Komisi VII DPR RI,Terjadwal,23199
Badan Anggaran,2025-06-30 15:24:00,Rapat Konsultasi Pengganti Rapat Badan Musyawarah,-,Tertutup,Rapat Panja,121.0,"Ruang Rapat Pimpinan, Gedung Nusantara III Lt. 2",Terjadwal,23198
Komisi II,2025-07-01 13:00:00,"Raker dan RDP Komisi II DPR RI dgn Mendagri, Menteri ATR/BPN RI, Rektor IPDN dan Gubernur se Indonesia ",Permasalahan wilayah dan tapal batas di pesisir dan kepulauan,Terbuka,Rapat Kerja,121.0,Ruang Rapat Komisi II DPR RI ,Terjadwal,23197
,2025-06-30 13:28:00,RDP Komisi XIII DPR RI dengan Dirjen Kenetagalistrikan KESDM RI dan Direktur Utam PT PLN,"1. Progrees bauran energi pembangkit tenaga listrik;
2. Realisasi dan proyeksi subsidi listrik Tahun 2025 dan TAhun 2026;
3. Progres program listrik desa",Terbuka,Rapat Dengar Pendapat,121.0,Ruang Rapat Komisi XIII DPR RI,Terjadwal,23196
Komisi IX,2025-07-01 13:00:00,"Rapat Kerja Komisi IX DPR RI dengan Menteri Kesehatan RI,
Menteri Kependudukan dan Pembangunan Keluarga/BKKBN, Kepala Badan POM RI, dan Kepala Badan Gizi Nasional","1. Penyampaian Hasil Survei Status Gizi Indonesia (SSGI) 2024 oleh Kementerian Kesehatan RI, termasuk tren nasional dan daerah dalam
prevalensi stunting, wasting, dan gizi buruk serta provinsi/kabupaten prioritas yang mengalami peningkatan kasus;
2. Evaluasi Program Nasional Percepatan Penurunan
Stunting dan Wasting (a. Capaian intervensi spesifik dan sensitif oleh
Kementerian Kesehatan RI, BKKBN, dan BGN; b. Integrasi pelaksanaan program oleh PKB/PLKB, Puskesmas, dan Posyandu; c. Tantangan pelaksanaan di lapangan dan strategi percepatan yang diperlukan) 3. Penguatan Standar Gizi dan Pengawasan Produk Pangan (a. Penjelasan peran dan mandat masing-masing K/L dalam penetapan standar gizi nasional; b. Evaluasi pengawasan dan regulasi peredaran makanan olahan oleh Badan POM RI, termasuk makanan anak dan suplemen; c. Penerapan standar gizi nasional dalam pelaksanaan Program Makan Bergizi Gratis (MBG))",Terbuka,Rapat Kerja,121.0,Ruang Rapat Komisi IX DPR RI,Terjadwal,23195
Komisi IV,2025-06-30 14:00:00,Komisi IV DPR RI menerima Audiensi Dewan Presidium Pusat Forum Komunikasi Nelayan Nusantara (FKNN) ,"1. Pencemaran lingkungan wilayah penangkapan ikan; 
2. Tentang migrasi perijinan dari daerah ke pusat oleh kapal-kapal berukuran < 30 GT; dan 
3. Penerapan pemasangan alat VMS untuk penerbitan Surat Layak Operasi (SLO) oleh Kementerian Kelautan dan Perikanan 
",Terbuka,Rapat Internal,121.0,Ruang Rapat Komisiisi IV DPR RI (KK IV),Terjadwal,23194
BURT,2025-07-01 13:00:00,Rapat Kerja dengan Pemerintah dan Bank Indonesia,"1. Pembahasan Pembicaran Pendahuluan RAPBN TA 2026 dan RKP Tahun 2026.
2. Pembahasan Laporan Semester I dan Prognosis Semester II APBN TA 2025",Terbuka,Rapat Kerja,121.0,Ruang Rapat Badan Anggaran DPR RI ,Terjadwal,23193
,,Rapat Paripurna Ke-21 Masa Persidangan IV Tahun Sidang 2024-2025,Rapat Paripurna Ke-21 Masa Persidangan IV Tahun Sidang 2024-2025,Terbuka,Rapat Tertutup,121.0,"Ruang Rapat Paripurna, Gedung Nusantara II Lantai 3 DPR RI",Terjadwal,23192
Badan Legislasi,2025-06-30 13:30:00,Rapat Pimpinan DPR RI,Membacakan surat-surat masuk dan lain-lain,Tertutup,Kegiatan Eksternal,121.0,Ruang Rapat Pimpinan Gedung Nusantara III Lantai 2,Terjadwal,23191
Komisi I,2025-04-28 10:20:00,Raker dan RDP dengan KASAL,"Pengembangan Sistem Keamanan Laut Yang Komprehensif Berkelanjutan, Adaptif, Responsif dan Inklusif.",Terbuka,Rapat Kerja,120.0,Ruang Rapat Komisi I,Terjadwal,23190
Komisi V,2025-06-30 13:00:00,Raker Komisi V DPR RI dengan Menteri Perhubungan,Membahas permasalahan transportasi berbasis aplikasi/online,Terbuka,Rapat Kerja,121.0,Ruang Rapat Komisi V DPR RI (KK V),Terjadwal,23189
Komisi V,2025-06-30 10:00:00,Raker Komisi V DPR RI dengan Menteri Transmigrasi,Membahas pengelolaan dan status kawasan Transmigrasi yang masuk kawasan hutan,Terbuka,Rapat Kerja,121.0,Ruang Rapat Komisi V DPR RI (KK V),Terjadwal,23188
Komisi VIII,2025-06-30 15:00:00,Rapat Internal Panja Komisi VIII DPR RI mengenai Perubahan atas UU Nomor 34 Tahun 2014 tentang Pengelolaan Keuangan Haji,"Menyusun Program Kerja Masa Persidangan IV Tahun Sidang 2024-2025
",Tertutup,Rapat Gabungan,121.0,Ruang Rapat Komisi VIII DPR RI,Terjadwal,23187
Komisi VIII,2025-06-30 13:00:00,Rapat Internal Panja Komisi VIII DPR RI mengenai Perubahan atas UU Nomor 8 Tahun 2019 tentang Penyelenggaraan Ibadah Haji dan Umrah,"- Menyusun Program Kerja Masa Persidangan IV Tahun Sidang 2024-2025
- Pembahasan draf RUU hasil harmonisasi dan sinkronisasi Baleg",Tertutup,Rapat Gabungan,121.0,Ruang Rapat Komisi VIII DPR RI,Terjadwal,23186
,2025-07-01 15:00:00,"RDPU dengan maskapai penerbangan (Batik Air, Citilink, Garuda Indonesia, Wings Air, Super Air Jet, Sriwijaya Air, dan Pelita Air)",masukan dari maskapai penerbangan,Terbuka,Kunjungan Kerja,121.0,"Ruang Rapat BAKN DPR RI, Gedung Nusantara II Lantai 3",Terjadwal,23185
Komisi XI,2025-07-01 14:00:00,RDPU Komisi XI dengan Calon Deputi Gubernur Bank Indonesia Periode Tahun 2025 - 2030,Fit and Proper Test Calon Deputi Gubernur Bank Indonesia Periode Tahun 2025 - 2030,Terbuka,Kunjungan Kerja,121.0,"Ruang Rapat Komisi XI DPR RI, Gedung Nusantara I",Terjadwal,23184
Komisi XI,2025-06-30 10:00:00,Rapat Kerja Komisi XI dengan Ketua DK OJK,Kebijakan co-payment industri asuransi,Terbuka,Rapat Kerja,121.0,"Ruang Rapat Komisi XI DPR RI, Gedung Nusantara I",Terjadwal,23183
Komisi X,2025-06-26 11:30:00,Rapat Intern Komisi X DPR RI (Tertutup),"1. Menyusun program kerja (fungsi legislasi, fungsi anggaran, dan fungsi pengawasan) Komisi X DPR RI MP IV TS 2024—2025.
2. Rencana Kunker Komisi X DPR RI MP IV TS 2024—2025.
3. Laporan Kunker Reses Komisi X DPR RI pada MP III TS 2024—2025.
4. Lain-lain.",Tertutup,Rapat Anggaran,121.0,Ruang Rapat Komisi X DPR RI,Terjadwal,23182
Komisi X,2025-06-26 11:00:00,Rapat Intern Komisi X DPR RI,Penetapan Pimpinan Komisi X DPR RI Periode 2024—2029,Terbuka,Rapat Anggaran,121.0,Ruang Rapat Komisi X DPR RI,Terjadwal,23181
Komisi II,2025-06-26 10:00:00,Rapat Dengar Pendapat Komisi II DPR RI Panja Pengawasan Penerimaan Negara Bukan Pajak (PNBP) di Sektor Pertanahan,"-	Evaluasi proses dan sistem pemungutan dan pemanfaatan PNBP dari sektor
   Pertanahan.
-	Evaluasi kebijakan yang mengatur pemungutan Penerimaan Negara Bukan Pajak 
   (PNBP) di sektor pertanahan.
-	Optimalisasi dan eksplorasi potensi PNBP di sektor pertanahan.
",Terbuka,Rapat Dengar Pendapat,121.0,Ruang Rapat Komisi II DPR RI ,Terjadwal,23180
Komisi VII,2025-06-26 14:00:00,Rapat Kerja Komisi VII DPR RI dengan Menteri Ekonomi Kreatif/Kepala Badan Ekonomi Kreatif RI,Laporan Pelaksanaan Program Kerja Kementerian Ekonomi Kreatif/Kepala Badan Ekonomi Kreatif RI,Terbuka,Rapat Kerja,121.0,Ruang Rapat Komisi VII,Terjadwal,23179
Komisi VIII,2025-06-26 10:00:00,"RDPU Komisi VIII DPR RI dengan Ny. Yatmi, Wakil Direktur PT. Jaya Real Property Tbk, dan Pemda Kota Tangerang Selatan",Audiensi Mengenai Pembongkaran Tanah Wakaf Girik a.n. Alin Bin Embing dan Belasan Kuburan di Bintaro Exchange,Terbuka,Kunjungan Kerja,121.0,Ruang Rapat Komisi VIII DPR RI,Terjadwal,23178
,2025-06-25 11:23:00,Rapat Internal Pansus RUU Pengelolaan Ruang Udara,"1. Menyusun Jadwal Acara RUU tentang Pengelolaan Ruang Udara; dan
2. Lain-lain.
",Tertutup,Public Hearing,121.0,"Ruang Rapat Komisi XIII, Gd. Nusantara II Lantai 3",Terjadwal,23177
Komisi IV,2025-06-25 13:00:00,Rapat Dengar Pendapat Umum (RDPU) Panitia Kerja Penyusunan Rancangan Undang-Undang tentang Perubahan Keempat atas Undang-Undang Nomor 41 Tahun 1999 tentang Kehutanan dengan Pakar/Akademisi,"Menerima aspirasi, masukan, dan saran terkait Penyusunan Rancangan Undang-Undang tentang Perubahan keempat atas Undang-Undang Nomor 41 Tahun 1999 tentang Kehutanan ",Terbuka,Kunjungan Kerja,121.0,Ulfa Nurfajar (Kabag Set. Komisi IV DPR RI),Terjadwal,23176
Komisi IV,2025-06-25 10:00:00,Rapat Dengar Pendapat Umum (RDPU) Panitia Kerja Penyusunan Rancangan Undang-Undang tentang Perubahan Keempat atas Undang-Undang Nomor 41 Tahun 1999 tentang Kehutanan dengan Asosiasi/Lembaga Swadaya Masyarakat ,"Menerima aspirasi, masukan, dan saran terkait Penyusunan Rancangan Undang-Undang tentang Perubahan keempat atas Undang-Undang Nomor 41 Tahun 1999 tentang Kehutanan ",Terbuka,Kunjungan Kerja,121.0,Ruang Rapat Komisi IV DPR RI (KK IV),Terjadwal,23175
,2025-06-24 13:00:00,Rapat Internal Komisi XII DPR RI (Tertutup),"1.	Menetapkan Jadwal Acara Rapat Komisi XII DPR RI Masa Persidangan IV Tahun Sidang 2024-2025;
2.	Menetapkan Daerah Tujuan Kunker Reses Masa Persidangan IV Tahun Sidang 2024-2025, yaitu:
a.	Provinsi Maluku (Pertambangan dan Lingkungan Hidup);
b.	Provinsi NTT (Medco Solat NTT dan Geothermal dll)
c.	Provinsi Kepulauan Bangka Belitung (PT Timah Tbk, PT PLN Nusantara Power Services (PLTU Bangka), PT Energy Karya Persada (PLTBm Tempilang 2, PT Mahakarsa Biru Energi Tbk)
3.	Kelanjutan pembahasan RUU EBET dan pembentukan Panja RUU EBET, dan kelanjutan pembahasan RUU Ketenagalistrikan
4.	Pembentukan Panja Peningkatan Pendapatan Negara (PPN)
5.	Lain-lain.
",Tertutup,Rapat Gabungan,121.0,Ruang Rapat Komisi XII DPR RI,Terjadwal,23174
,2025-06-25 10:00:00,Rapat Audiensi Komisi XII DPR RI dengan Komisi III DPRD Provinsi Kalimantan Timur,Rencana pengelolaan Energi dan Sumber Daya Alam di Provinsi Kalimantan Timur,Terbuka,Rapat Internal,121.0,Ruang Rapat Komisi XII DPR RI,Terjadwal,23173
Komisi I,2025-04-23 10:00:00,RDPU Komisi I DPR RI dengan Pakar dan Akademisi,Masukan atas RUU tentang Pengesahan Persetujuan antara Pemerintah RI dan Pemerintah Republik Sosialisasi Vietnam tentang Penetapan Batas Zona Ekonomis Eksklusif,Terbuka,Kunjungan Kerja,120.0,"Ruang Rapat Komisi I DPR RI, Gedung Nusantara II",Terjadwal,23172
Komisi I,2025-04-23 10:00:00,RDPU Komisi I DPR RI dengan Pakar dan Akademisi,Masukan atas RUU tentang Pengesahan Persetujuan antara Pemerintah RI dan Pemerintah Republik Sosialisasi Vietnam tentang Penetapan Batas Zona Ekonomis Eksklusif,Terbuka,Kunjungan Kerja,120.0,"Ruang Rapat Komisi I DPR RI, Gedung Nusantara II",Terjadwal,23171
Komisi VIII,2025-06-25 13:00:00,Rapat Internal Komisi VIII DPR RI,Pembahasan Mekanisme Penyusunan Fit and Profer Test Calon Anggota Unsur Pengarah Penanggulangan Bencana dari Masyarakat Profesional,Tertutup,Rapat Gabungan,121.0,Ruang Rapat Komisi VIII DPR RI,Terjadwal,23170
Komisi VIII,2025-06-25 10:00:00,Rapat Internal Komisi VIII DPR RI ,Penyusunan Laporan Hasil Pengawasan Penyelenggaraan Ibadah Haji Tahun 1446 H/2025 M Tahap I dan Tahap II,Tertutup,Rapat Gabungan,121.0,Ruang Rapat Komisi VIII DPR RI,Terjadwal,23169
Komisi XI,2025-06-25 13:00:00,Rapat Internal Komisi XI ,Pembentukan Jadwal Sidang Komisi XI ,Tertutup,Rapat Gabungan,121.0,Ruang Rapat Komisi XI ,Terjadwal,23168
Komisi I,2025-06-25 12:00:00,Rapat Intern Komisi I DPR RI ,"1. Pembahasan dan Penetapan rencana kegiatan Komisi I DPR RI pada MP IV TS 2024-2025; dan 
2. Lain-lain.",Tertutup,Rapat Gabungan,121.0,Ruang Rapat Komisi I DPR RI,Terjadwal,23167
Komisi I,2025-06-25 11:00:00,Rapat Pimpinan Komisi I DPR RI (Tertutup),"1. Penyusunan rencana kegiatan Komisi I DPR RI pada MP IV TS 2024-2025; dan 
2. Lain-lain.",Tertutup,Rapat Gabungan,121.0,Ruang Pimpinan Komisi I DPR RI,Terjadwal,23166
Komisi VII,2025-06-25 13:00:00,Rapat Intern Komisi VII DPR RI,Pembahasan Program Kerja Komisi VII DPR RI Masa Sidang IV Tahun Sidang 2024-2025,Tertutup,Rapat Gabungan,121.0,Ruang Rapat Komisi VII DPR RI,Terjadwal,23165
,2025-06-24 10:58:00,Komisi XIII DPR RI Rapat Intern,"1.	Membahas Rancangan Jadwal Rapat Komisi XIII DPR RI Masa Persidangan IV Tahun Sidang 2024-2025;
2.	Menetapkan Daerah Kunjungan Kerja Reses Komisi XIII DPR RI Masa Persidangan IV Tahun Sidang 2024-2025;
3.	Lain-lain
",Tertutup,Rapat Anggaran,121.0,"Ruang Rapat Komisi XIII, Gedung Nusantara II DPR RI, Lantai 3 Jl. Jenderal Gatot Subroto, Jakarta Pusat",Terjadwal,23164
Badan Kehormatan,2025-06-24 16:00:00,Rapat Panja Harmonisasi RUU tentang Perubahan atas Undang-Undang Nomor 8 Tahun 2019 tentang Penyelenggaraan Ibadah Haji dan Umrah ,Harmonisasi RUU tentang Perubahan atas Undang-Undang Nomor 8 Tahun 2019 tentang Penyelenggaraan Ibadah Haji dan Umrah ,Rahasia,Seminar / Diskusi,121.0,Ruang Rapat Badan Legislasi,Terjadwal,23163
,2025-06-24 09:30:00,"Rapat Paripurna Ke-20, Selasa 24 Juni 2025 Masa Persidangan IV Tahun Sidang 2024-2025",Pidato Ketua DPR RI pada Pembukaan Masa Persidangan IV Tahun Sidang 2024-2025,Terbuka,Rapat Tertutup,121.0,Persidangan Paripurna,Terjadwal,23162
Badan Kehormatan,2025-06-24 13:00:00,Rapat Badan Legislasi Penetapan Jadwal Acara Rapat Badan Legislasi MS IV TS 2024-2025 ,Penetapan Jadwal Acara Rapat Badan Legislasi MS IV TS 2024-2025,Tertutup,Workshop / Bimtek,121.0,Ruang Rapat Badan Legislasi,Terjadwal,23161
Komisi IX,2025-06-24 13:00:00,Rapat Internal Komisi IX DPR RI,"1. Pembahasan dan Penetapan Program Kerja Komisi IX 
DPR RI pada Masa Persidangan IV Tahun Sidang  
2024-2025; dan 
2. Lain-lain. ",Tertutup,Rapat Gabungan,121.0,Ruang Rapat Komisi IX DPR RI,Terjadwal,23160
Komisi II,2025-06-24 12:00:00,Rapat Internal Tertutup Komisi II DPR RI ,"-	Menyusun Program Kerja dan Kegiatan Komisi II DPR RI Masa Persidangan IV   
    Tahun Sidang 2024 – 2025; 
-	Pembentukan Panja tentang Pengawasan Penerimaan Negara Bukan Pajak 
   (PNBP) di Sektor Pertanahan;
-	Dan lain-lain.
",Tertutup,Rapat Gabungan,121.0,Ruang Rapat Komisi II DPR RI ,Terjadwal,23159
Komisi II,2025-06-24 13:00:00,Rapat Pimpinan Tertutup Komisi II DPR RI,"-	Menyusun Program Kerja dan Kegiatan Komisi II DPR RI Masa Persidangan IV   
    Tahun Sidang 2024 – 2025; 
-	Pembentukan Panja tentang Pengawasan Penerimaan Negara Bukan Pajak 
   (PNBP) di Sektor Pertanahan;
-	Dan lain-lain.
",Tertutup,Rapat Gabungan,121.0,Ruang Rapat Komisi II DPR RI ,Terjadwal,23158
Komisi I,2025-05-05 10:24:00,"RDPU Panja Penyiaran dengan PWI, AJI, dan AVISI ",Dampak Pengaturan Penyiaran Multiplatform,Terbuka,Kunjungan Kerja,120.0,Ruang Rapat Komisi I,Terjadwal,23157
,2025-06-24 09:30:00,Rapat Paripurna Ke-20 Masa Persidangan IV Tahun Sidang 2024-2025,Pidato Ketua DPR RI pada Pembukaan Masa Persidangan IV Tahun Sidang 2024-2025,Terbuka,Rapat Tertutup,121.0,"Ruang Rapat Paripurna, Gedung Nusantara II Lantai 3 DPR RI",Terjadwal,23156
,2025-07-01 09:00:00,Rapat Paripurna Ke-21 Masa Persidangan IV Tahun Sidang 2024-2025,Pidato Ketua DPR RI pada Pembukaan Masa Persidangan IV Tahun Sidang 2024-2025,Terbuka,Rapat Tertutup,121.0,"Ruang Rapat Paripurna, Gedung Nusantara II Lantai 3 DPR RI",Dibatalkan,23156
Komisi VIII,2025-06-24 12:00:00,Rapat Internal Komisi VIII DPR RI ,"Menyusun Program Kerja Masa Persidangan IV Tahun Sidang 2024-2025.
",Terbuka,Rapat Gabungan,121.0,Ruang Rapat Komisi VIII DPR RI,Terjadwal,23155
Komisi VIII,2025-06-24 11:00:00,Rapat Internal Pimpinan Komisi VIII DPR RI,Membahas/Menyusun Program Kerja Masa Persidangan IV Tahun Sidang 2024-2025.,Tertutup,Rapat Gabungan,121.0,Ruang Rapat Komisi VIII DPR RI,Terjadwal,23154
